Id,Brand,Category,Name,Rating,Gender,Notes,Recommended Time,Year,Perfume Url
2582,Gianni Versace,eau de toilette .17 oz mini & body lotion .8 oz & shower gel .8 oz,Versace Yellow Diamond,5,women,"Neroli, Bergamot, Amalfi lemon, Pear, African orange flower",casual,2011,https://www.fragrancenet.com/perfume/gianni-versace/versace-yellow-diamond/edt-.17-oz-mini-and-body-lotion-.8-oz-and-shower-gel-.8-oz#231727
2583,Vince Camuto,body mist,Vince Camuto Bella,,women,"Bergamot, Nectarine Blossom, Jasmine, White Amber",,2014,https://www.fragrancenet.com/perfume/vince-camuto/vince-camuto-bella/body-mist#324834
2584,Vince Camuto,body mist,Vince Camuto Fiori,5,women,"nectarine, pink grapefruit, Bellini, iris, freesia",,2013,https://www.fragrancenet.com/perfume/vince-camuto/vince-camuto-fiori/body-mist#299375
2585,Vince Camuto,eau de toilette spray 3.4 oz & deodorant stick alcohol free 2.5 oz & aftershave balm 5 oz,Vince Camuto Man,,men,"Bergamot, Mandarin orange, Black pepper, Nutmeg, Lavender",,2012,https://www.fragrancenet.com/cologne/vince-camuto/vince-camuto-man/edt-spray-3.4-oz-and-deodorant-stick-alcohol-free-2.5-oz-and-aftershave-balm-5-oz#299646
2586,Oscar de la Renta,body mist,Volupte,,women,"Mimosa, Watermelon, Cyclamen, Freesia, Mandarin Orange",casual,1992,https://www.fragrancenet.com/perfume/oscar-de-la-renta/volupte/body-mist#291623
2587,Elizabeth Taylor,eau de toilette spray 1.7 oz & body lotion 1.7 oz & white diamonds parfum .12 oz mini,White Diamonds Brilliant,,women,"soft, powdery florals.",evening,2009,https://www.fragrancenet.com/perfume/elizabeth-taylor/white-diamonds-brilliant/edt-spray-1.7-oz-and-body-lotion-1.7-oz-and-white-diamonds-parfum-.12-oz-mini#229774
2588,Woods of Windsor,dusting powder,Woods Of Windsor White Jasmine,5,women,"Jasmine, Ylang-ylang, Fresh green, Orange blossom, Rose",,N/A,https://www.fragrancenet.com/perfume/woods-of-windsor/woods-of-windsor-white-jasmine/dusting-powder#221868
2589,Yardley,soap,Yardley,,women,"Lavender, Bergamot, Eucalyptus, Rosemary, Clary Sage",casual,1913,https://www.fragrancenet.com/perfume/yardley/yardley/soap#215183
2590,Carolina Herrera,deodorant,212,,men,"Mandarin, Grapefruit, Iron Woods, Sandalwood",daytime,1999,https://www.fragrancenet.com/cologne/carolina-herrera/212/deodorant#126418
2591,Muelhens,shower gel,4711,,unisex,"Orange oil, Peach, Basil, Bergamot, Lemon",evening,1792,https://www.fragrancenet.com/fragrances/muelhens/4711/shower-gel#127308
2592,Chanel,eau de toilette,Allure,,men,oriental freshness of bergamot with a trace of spice.,daytime,1998,https://www.fragrancenet.com/cologne/chanel/allure/edt#296568
2593,Alyssa Ashley,eau de toilette,Alyssa Ashley White Musk,,women,"Bergamot , Tarragon, Ylang ylang, Spices, Jasmine",romantic,2000,https://www.fragrancenet.com/perfume/alyssa-ashley/alyssa-ashley-white-musk/edt#119937
2594,Armand Basi,eau de toilette,Armand Basi In Red,5,women,"Ginger, Mandarin, Bergamot, Cardamom, Moss",casual,2002,https://www.fragrancenet.com/perfume/armand-basi/armand-basi-in-red/edt#145222
2595,Giorgio Armani,eau de toilette,Armani Eau De Nuit,4.6,men,"Bergamot, Pink Pepper, Cardamom, Nutmeg, Iris",,2013,https://www.fragrancenet.com/cologne/giorgio-armani/armani-eau-de-nuit/edt#237835
2596,Banana Republic,eau de parfum,Banana Republic Alabaster,5,women,"Lotus, Rose, Musk",,2006,https://www.fragrancenet.com/perfume/banana-republic/banana-republic-alabaster/eau-de-parfum#314243
2597,Paco Rabanne,eau de parfum,Black Xs L'Exces,,women,"Vanilla, Jasmine, Rose, And Cereus.",evening,2012,https://www.fragrancenet.com/perfume/paco-rabanne/black-xs-lexces/eau-de-parfum#230418
2598,Jennifer Lopez,eau de toilette,Blue Glow Jennifer Lopez,4,women,"Mangosteen, Orange, Water Lily, Rose, Oak Moss",,2010,https://www.fragrancenet.com/perfume/jennifer-lopez/blue-glow-jennifer-lopez/edt#189842
2599,Bottega Veneta,eau de parfum,Bottega Veneta Knot,5,women,"Clementine, Lime, Neroli, Rose, Peony, ",,2014,https://www.fragrancenet.com/perfume/bottega-veneta/bottega-veneta-knot/eau-de-parfum#269796
2600,Boucheron,eau de parfum,Boucheron Ambre d'Alexandrie,,unisex,,,,https://www.fragrancenet.com/fragrances/boucheron/boucheron-ambre-dalexandrie/eau-de-parfum#308643
2601,Faberge,soap,Brut,5,men,citrus top notes with hints of spicy woods.,evening,1964,https://www.fragrancenet.com/cologne/faberge/brut/soap#249924
2602,Bvlgari,aftershave emulsion,Bvlgari Aqua,,men,"Mandarin, Petitgrain, Santolina, Posidonia, Amber",casual,2005,https://www.fragrancenet.com/cologne/bvlgari/bvlgari-aqua/aftershave-emulsion#289017
2603,Calvin Klein,5 piece mens mini variety with euphoria men & eternity & ck one & ck all & obsessed and all are eau de toilette .33 oz minis,Calvin Klein Variety,4,men,"Fragrances Include notes of greens, crisp jasmine, sage, basil, and rosewood, very refreshing and crisp; lime, leaves, sage, nutmeg, vetiver and sandalwood; mandarin and spice, with low tones of musk, sandalwood and amber",casual,1981,https://www.fragrancenet.com/cologne/calvin-klein/calvin-klein-variety/5-piece-mens-mini-variety-with-euphoria-men-and-eternity-and-ck-one-and-ck-all-and-obsessed-and-all-are-edt-.33-oz-minis#311789
2604,Cartier,eau de toilette,Cartier La Panthere,5,women,"Rhubarb, Big strawberry, Bergamot, Anise, Gardenia",,2014,https://www.fragrancenet.com/perfume/cartier/cartier-la-panthere/edt#315235
2605,Remy Latour,eau de toilette,Cigar Black Oud,5,men,"Sicilian Lemon, Tangerine, Cinnamon, Musk, Amber",,2014,https://www.fragrancenet.com/cologne/remy-latour/cigar-black-oud/edt#285468
2606,Davidoff,eau de toilette,Cool Water Ocean Extreme,4.5,men,,,,https://www.fragrancenet.com/cologne/davidoff/cool-water-ocean-extreme/edt#296419
2607,Davidoff,eau de toilette,Cool Water Sea Rose,5,women,"Pear, Pink Peony, Musk ",,2013,https://www.fragrancenet.com/perfume/davidoff/cool-water-sea-rose/edt#292039
2608,Juicy Couture,parfum,Couture Couture By Juicy Couture,,women,"pink grape accord, mandarin, creamy sandalwood, vanilla, honeysuckle, blushed plum, orange blossom, amber, star jasmine",daytime,2009,https://www.fragrancenet.com/perfume/juicy-couture/couture-couture-by-juicy-couture/parfum#241454
2609,Liz Claiborne,hair and body wash,Curve,4.5,men,"Pineapple, Juniper berries, Lavender, Neroli, Lemon",daytime,1996,https://www.fragrancenet.com/cologne/liz-claiborne/curve/hair-and-body-wash#161487
2610,Dolce & Gabbana,eau de toilette,D & G Light Blue Sun,,women,,,,https://www.fragrancenet.com/perfume/dolce-and-gabbana/d-and-g-light-blue-sun/edt#325149
2611,Daddy Yankee,eau de parfum,Daddy Yankee Dyamante,5,women,"Passionfruit, Jasmine, Honeysuckle, Sandalwood, Amber",romantic,2010,https://www.fragrancenet.com/perfume/daddy-yankee/daddy-yankee-dyamante/eau-de-parfum#201294
2612,Elizabeth Taylor,eau de toilette spray 3.3 oz & body lotion 3.3 oz,Diamonds & Sapphires,,women,"a fresh cut floral bouquet of lily of the valley, rose, ylang-ylang, jasmine and spice.  A later hint of musky sandalwood.",daytime,1993,https://www.fragrancenet.com/perfume/elizabeth-taylor/diamonds-and-sapphires/edt-spray-3.3-oz-and-body-lotion-3.3-oz#127882
2613,Christian Dior,eau de parfum,Dior Leather Oud,5,unisex,,,,https://www.fragrancenet.com/fragrances/christian-dior/dior-leather-oud/eau-de-parfum#296151
2614,Disney,eau de toilette spray 3.4 oz & metal lunch box,Disney Princess,4,women,"Citruses, Orange peel, Vanilla, Lily of the valley",,,https://www.fragrancenet.com/perfume/disney/disney-princess/edt-spray-3.4-oz-and-metal-lunch-box#267771
2615,Donna Karan,eau de toilette,Dkny New York,4.5,men,"Ginger, Mandarin orange, Ivy, Juniper, Sandalwood",daytime,2000,https://www.fragrancenet.com/cologne/donna-karan/dkny-new-york/edt#124118
2616,Donna Karan,eau de parfum,Donna Karan Liquid Cashmere Aqua,5,women,"Sea Notes, Woody Notes, Floral Notes, Musk",,2016,https://www.fragrancenet.com/perfume/donna-karan/donna-karan-liquid-cashmere-aqua/eau-de-parfum#293108
2617,Chanel,eau de toilette,Egoiste Platinum,,men,"Rosemary, Lavender, Jasmine, Geranium, Vetiver",casual,1993,https://www.fragrancenet.com/cologne/chanel/egoiste-platinum/edt#125856
2618,Hugo Boss,eau de toilette,Elements,4.333,men,"Bergamot, Basil, Lemon, Lavender, Artemisia",daytime,1994,https://www.fragrancenet.com/cologne/hugo-boss/elements/edt#125214
2619,Elie Saab,eau de parfum,Elie Saab Girl Of Now Forever,4,women,,,,https://www.fragrancenet.com/perfume/elie-saab/elie-saab-girl-of-now-forever/eau-de-parfum#326683
2620,Jessica Simpson,eau de parfum spray 1.7 oz & body lotion 3 oz,Fancy Love,5,women,"Bergamot, Peach Blossom, Goji Leaf, Pink Champagne, Peony",casual,2009,https://www.fragrancenet.com/perfume/jessica-simpson/fancy-love/eau-de-parfum-spray-1.7-oz-and-body-lotion-3-oz#270770
2621,Britney Spears,eau de toilette,Fantasy In Bloom Britney Spears,5,women,"Red Berries, Mandarin Orange, Jasmine, Sandalwood, Amber",,2017,https://www.fragrancenet.com/perfume/britney-spears/fantasy-in-bloom-britney-spears/edt#293945
2622,Franck Olivier,eau de toilette,Franck Olivier Black Touch,5,men,"Bergamot, Geranium, Magnolia, Jasmine, Vetiver",,2009,https://www.fragrancenet.com/cologne/franck-olivier/franck-olivier-black-touch/edt#294033
2623,Elizabeth Arden,eau de toilette,Green Tea Jasmine,,women,"Bergamot, Neroli, Green Tea, Jasmine, Mate",,2015,https://www.fragrancenet.com/perfume/elizabeth-arden/green-tea-jasmine/edt#308165
2624,Gucci,eau de toilette,Gucci Flora Gracious Tuberose,5,women,"Peach, Violet Leaf, Rose, Tuberose, African Orange Flower",casual,2012,https://www.fragrancenet.com/perfume/gucci/gucci-flora-gracious-tuberose/edt#224479
2625,Parfums Gal,set of 2 soaps plus 1 free and each is 4 oz,Heno De Pravia,,women,,casual,N/A,https://www.fragrancenet.com/perfume/parfums-gal/heno-de-pravia/set-of-2-soaps-plus-1-free-and-each-is-4-oz#226288
2626,Carolina Herrera,eau de toilette,Herrera,,women,"Apricot, Orange Blossom, Bergamot, Honeysuckle, Narcissus",romantic,1988,https://www.fragrancenet.com/perfume/carolina-herrera/herrera/edt#116088
2627,Jessica Simpson,body lotion,I Fancy You,5,women,"Fuji apple,  Pear, Bergamot, Lily of the valley, Hyacinth",,2011,https://www.fragrancenet.com/perfume/jessica-simpson/i-fancy-you/body-lotion#298577
2628,Salvatore Ferragamo,eau de toilette,Incanto,,men,"Artemisia, Bamboo leaf, Bitter orange, Cypress, Atlas cedar",casual,2003,https://www.fragrancenet.com/cologne/salvatore-ferragamo/incanto/edt#138695
2629,Salvatore Ferragamo,eau de toilette,Incanto Dream,,women,"Pineapple, Black currant, Mango, Red apple, Peony",casual,2005,https://www.fragrancenet.com/perfume/salvatore-ferragamo/incanto-dream/edt#212011
